[INFO] [1776322621.510954734] [robot_controller]: Поток клавиатуры запущен.
[INFO] [1776322696.648959554] [robot_controller]: → Подъезжаю... left=2.92 front=1.08
[INFO] [1776322697.152573652] [robot_controller]: → Подъезжаю... left=2.92 front=1.05
[INFO] [1776322697.698575606] [robot_controller]: → Подъезжаю... left=2.39 front=1.01
[INFO] [1776322698.199106083] [robot_controller]: → Подъезжаю... left=2.32 front=1.01
[INFO] [1776322698.748590168] [robot_controller]: → Подъезжаю... left=2.31 front=0.98
[INFO] [1776322699.248802863] [robot_controller]: → Подъезжаю... left=2.27 front=0.95
[INFO] [1776322699.752395145] [robot_controller]: → Подъезжаю... left=2.27 front=0.95
[INFO] [1776322700.298655065] [robot_controller]: → Подъезжаю... left=3.54 front=0.93
[INFO] [1776322700.850290537] [robot_controller]: → Подъезжаю... left=3.55 front=0.89
[INFO] [1776322701.398595883] [robot_controller]: → Подъезжаю... left=3.57 front=0.87
[INFO] [1776322701.898822728] [robot_controller]: → Подъезжаю... left=3.03 front=0.87
[INFO] [1776322702.399129436] [robot_controller]: → Подъезжаю... left=3.03 front=0.83
[INFO] [1776322702.948632584] [robot_controller]: → Подъезжаю... left=2.98 front=0.82
[INFO] [1776322703.449142093] [robot_controller]: → Подъезжаю... left=2.84 front=0.80
[INFO] [1776322703.950665168] [robot_controller]: → Подъезжаю... left=2.78 front=0.80
[INFO] [1776322704.456715385] [robot_controller]: → Подъезжаю... left=2.74 front=0.80
[INFO] [1776322705.000543166] [robot_controller]: → Подъезжаю... left=2.68 front=0.79
[INFO] [1776322705.500756058] [robot_controller]: → Подъезжаю... left=2.68 front=0.78
[INFO] [1776322706.049330681] [robot_controller]: → Подъезжаю... left=2.66 front=0.80
